Orig. order,type,JEPG anchor,rhyme,regularized,subordinate,orthography,phonology,set,visual 1,visual 2,visual 3,visual 4,visual 5,visual 6,visual 7,visual 8,onset 1,onset 2,onset 3,onset 4,offset 1,offset 2,offset 3,offset 4,probe 1,probe 2,probe 3,probe 4,Comments
45,exception,drace,draw,face,draw,thace,/To/,2,thoss,thosse,thauss,thausse,thauce,thoce,thawce,thaus,splace,zace,gwace,stace,thosl,thof,tholl,thotch,frace,krace,prace,snace,
55,exception,drace,draw,face,draw,smace,/smo/,3,smoss,smosse,smauss,smausse,smauce,smoce,smawce,smaus,tace,shrace,skace,dwace,smosh,smost,smock,smotch,frace,krace,prace,snace,
36,exception,fank,honk,thank,honk,fank,/fank/,1,phank,phanck,faunck,fanque,phanque,faunk,fonk,phonk,chrank,slank,splank,trank,fanch,fanse,fant,fandge,lank,grank,vank,zank,
46,exception,fank,honk,thank,honk,nank,/nank/,2,nawnk,nanck,naunck,snanque,naunque,naunk,nonque,nonk,snank,glank,chank,strank,nanch,nanse,nath,nandge,lank,grank,vank,zank,
56,exception,fank,honk,thank,honk,pank,/pank/,3,pahnk,panck,paunck,panque,pahnque,paunk,ponc,ponk,brank,kwank,thrank,smank,panch,panse,paff,pandge,lank,grank,vank,zank,
37,exception,geam,gem,beam,gem,geam,/gem/,1,guemm,guem,guemme,gheme,guemn,ghem,jeam,guelm,neam,veam,fream,cleam,geab,geash,geap,geall,pream,fleam,keam,peam,"anchor close ""gym"""
47,exception,geam,gem,beam,gem,cheam,/Cem/,2,chemm,chem,chemme,cheme,chehm,tchem,chemn,chelm,bleam,gweam,spleam,sleam,cheab,cheash,cheast,cheadd,pream,fleam,keam,peam,
57,exception,geam,gem,beam,gem,tream,/trem/,3,tremm,trem,tremme,treme,tremn,trehm,treahm,trelm,spream,gleam,speam,skeam,treab,treash,treap,treall,pream,fleam,keam,peam,"anchor close ""trim"""
38,exception,kipe,chip,hype,chip,kipe,/kip/,1,kip,kippe,kyp,chyp,kipp,kihp,kypp,kyppe,splipe,kripe,smipe,thipe,kif,kib,kith,kish,bipe,vipe,gipe,jipe,bipe/jipe close to b/jeep
48,exception,kipe,chip,hype,chip,fipe,/fip/,2,fip,fippe,fyp,fhyp,fipp,fihp,fypp,fyppe,stipe,bripe,gwipe,plipe,fif,fib,fith,fidd,bipe,vipe,gipe,jipe,
58,exception,kipe,chip,hype,chip,mipe,/mip/,3,mip,mippe,myp,myhp,mipp,mihp,mypp,myppe,shripe,chipe,glipe,dwipe,mif,mib,misk,mish,bipe,vipe,gipe,jipe,
39,exception,nust,roost,dust,roost,fust,/fUst/,1,fewst,foost,feust,foowst,fuest,feuwst,fiewst,fieust,thust,brust,klust,shust,fuft,fusk,fusp,fusht,chust,nust,tust,drust,
